0	32.97
1	18.17
2	22.01
3	25.91
4	20.08
5	26.30
6	25.66
7	22.00
8	25.63
9	26.32
10	25.89
11	28.35
12	38.29
13	25.03
14	26.38
15	27.82
16	28.38
17	20.72
18	27.48
19	31.96
20	32.19
21	32.50
22	28.45
23	25.58
24	29.92
25	26.72
26	31.42
27	40.29
28	35.20
29	32.02
30	27.39
31	26.82
32	28.27
33	27.71
34	29.18
35	32.44
36	39.42
37	32.99
38	37.78
39	28.66
40	31.78
41	27.38
42	29.23
43	36.71
44	33.38
45	36.20
46	33.44
47	29.60
48	28.04
49	28.12
50	30.47
51	28.72
52	28.22
53	25.49
54	24.81
55	34.37
56	29.59
57	31.37
58	34.17
59	28.09
60	43.12
61	33.59
62	30.74
63	33.43
64	30.07
65	30.28
66	32.59
67	32.94
68	29.34
69	32.80
70	36.09
71	33.90
72	35.52
73	36.30
74	37.61
75	35.75
76	33.35
77	33.32
78	38.36
79	34.78
80	35.17
81	33.41
82	44.18
83	43.41
84	38.86
85	47.59
86	41.89
87	32.81
88	43.80
89	35.06
90	43.64
91	39.85
92	38.71
93	38.39
94	38.19
95	48.14
96	34.74
97	35.50
98	44.74
99	41.03
100	36.49
101	33.19
102	34.99
103	38.23
104	34.81
105	46.00
106	35.70
107	28.37
108	38.03
109	50.05
110	31.79
111	28.32
112	32.14
113	32.34
114	38.13
115	34.98
116	28.28
117	39.16
118	39.89
119	36.97
120	33.24
121	39.13
122	31.72
123	32.62
124	38.56
125	41.83
126	38.23
127	36.00
128	33.21
129	33.01
130	33.29
131	41.50
132	33.29
133	30.36
134	35.87
135	33.36
136	51.32
137	31.03
138	29.68
139	30.38
140	33.19
141	35.73
142	31.68
143	24.69
144	34.03
145	31.31
146	50.36
147	36.81
148	28.72
149	28.28
150	30.60
151	46.66
152	45.68
153	39.14
154	40.04
155	41.00
156	40.43
157	43.49
158	37.00
159	31.75
160	32.02
161	31.05
162	40.57
163	41.79
164	33.70
165	32.81
166	31.56
167	42.83
168	43.33
169	43.12
170	43.53
171	31.88
172	36.86
173	36.93
174	34.87
175	49.19
176	33.08
177	33.75
178	44.20
179	38.65
180	39.50
